n;RN;AVL;B-1;B-5;B-10
1;1;1;4;4;4
2;3;8;10;10;10
3;9;20;20;17;17
4;14;31;28;25;25
5;19;43;40;34;34
6;26;59;50;43;43
7;29;71;63;53;53
8;38;84;78;63;63
9;40;99;89;73;73
10;51;117;104;84;84
11;58;136;116;98;95
12;61;150;133;112;109
13;74;170;147;120;117
14;82;189;159;133;130
15;88;205;173;145;141
16;94;219;190;157;154
17;105;248;202;169;166
18;108;257;219;182;177
19;120;282;239;197;191
20;124;301;252;212;205
21;144;324;272;225;221
22;137;329;284;235;233
23;143;350;304;249;247
24;165;384;316;264;259
25;171;399;329;278;275
26;176;414;349;291;289
27;183;437;369;303;300
28;194;459;387;318;315
29;203;482;404;332;327
30;211;495;422;346;343
31;217;527;433;360;355
32;225;550;447;373;370
33;234;565;469;386;383
34;246;581;487;397;398
35;259;615;505;414;412
36;269;635;520;429;428
37;277;654;538;442;440
38;285;676;555;455;458
39;285;706;567;473;477
40;296;723;603;485;488
41;314;750;598;498;503
42;325;781;617;516;519
43;337;802;652;532;537
44;341;824;658;548;548
45;350;836;682;561;563
46;362;868;703;575;583
47;360;877;731;585;593
48;367;884;742;605;608
49;385;927;753;613;623
50;408;960;782;635;640
51;404;970;791;642;650
52;417;994;816;658;668
53;427;1023;832;681;683
54;427;1038;854;694;699
55;439;1074;864;708;715
56;457;1088;886;720;729
57;460;1131;906;733;743
58;473;1144;933;751;756
59;470;1161;941;766;771
60;492;1183;967;780;787
61;499;1196;980;795;809
62;510;1234;1014;808;820
63;523;1265;1017;820;834
64;533;1279;1034;840;851
65;541;1312;1058;854;865
66;558;1347;1083;876;882
67;563;1366;1097;881;895
68;568;1379;1123;897;912
69;582;1417;1144;917;929
70;595;1437;1154;932;948
71;619;1479;1187;953;963
72;609;1488;1186;962;974
73;621;1521;1221;983;992
74;629;1532;1226;997;1010
75;639;1555;1258;1001;1024
76;654;1611;1267;1029;1037
77;655;1602;1288;1041;1053
78;674;1644;1321;1053;1071
79;685;1673;1334;1067;1087
80;685;1682;1352;1090;1098
81;698;1702;1367;1100;1121
82;712;1739;1391;1113;1132
83;720;1758;1416;1134;1154
84;736;1784;1435;1147;1170
85;737;1814;1450;1162;1179
86;759;1848;1475;1181;1203
87;771;1853;1487;1191;1212
88;770;1883;1522;1216;1241
89;792;1940;1527;1235;1251
90;795;1938;1559;1245;1262
91;796;1963;1576;1252;1279
92;825;2003;1592;1276;1289
93;835;2023;1604;1304;1316
94;828;2053;1624;1314;1327
95;854;2081;1654;1327;1341
96;866;2099;1675;1337;1353
97;869;2131;1691;1360;1379
98;892;2183;1708;1368;1389
99;899;2182;1722;1385;1403
100;903;2200;1747;1415;1421
101;906;2234;1773;1424;1446
102;928;2272;1806;1441;1451
103;925;2298;1811;1459;1472
104;955;2327;1851;1476;1493
105;958;2366;1848;1496;1508
106;962;2378;1873;1511;1524
107;987;2405;1896;1524;1538
108;997;2434;1903;1546;1551
109;995;2443;1946;1553;1568
110;994;2461;1970;1572;1590
111;1023;2516;1998;1597;1599
112;1029;2506;1991;1609;1615
113;1051;2573;2024;1622;1633
114;1056;2595;2031;1651;1651
115;1071;2614;2064;1664;1671
116;1074;2649;2079;1669;1682
117;1095;2656;2112;1703;1702
118;1087;2692;2128;1713;1714
119;1110;2745;2141;1722;1727
120;1127;2761;2168;1747;1753
121;1132;2776;2194;1759;1764
122;1137;2807;2202;1782;1786
123;1153;2843;2212;1803;1801
124;1161;2839;2259;1811;1809
125;1172;2895;2268;1835;1833
126;1189;2916;2292;1856;1855
127;1190;2944;2312;1869;1873
128;1206;2978;2332;1883;1883
129;1228;3020;2373;1903;1902
130;1230;3036;2396;1916;1925
131;1252;3051;2397;1935;1931
132;1258;3069;2439;1954;1943
133;1284;3107;2457;1967;1964
134;1280;3135;2473;1987;1980
135;1296;3173;2483;2000;1996
136;1295;3178;2512;2013;2011
137;1318;3227;2557;2035;2024
138;1316;3247;2559;2056;2049
139;1339;3275;2586;2079;2065
140;1319;3284;2591;2092;2080
141;1355;3332;2610;2107;2101
142;1363;3355;2636;2131;2119
143;1365;3389;2667;2134;2129
144;1383;3419;2682;2164;2148
145;1416;3450;2703;2170;2166
146;1408;3462;2725;2187;2177
147;1410;3497;2744;2207;2201
148;1423;3535;2761;2227;2214
149;1435;3553;2798;2255;2241
150;1442;3591;2800;2254;2255
151;1464;3618;2826;2286;2265
152;1482;3645;2856;2300;2287
153;1473;3658;2864;2320;2300
154;1501;3688;2900;2341;2317
155;1507;3736;2936;2350;2336
156;1509;3768;2952;2364;2357
157;1532;3768;2953;2383;2368
158;1535;3833;2980;2410;2392
159;1573;3852;3013;2413;2406
160;1578;3888;3022;2445;2423
161;1560;3888;3045;2467;2435
162;1578;3939;3048;2483;2460
163;1624;3955;3111;2484;2476
164;1617;4010;3126;2506;2475
165;1603;3982;3133;2524;2510
166;1610;4011;3140;2536;2528
167;1649;4063;3204;2567;2536
168;1638;4075;3202;2574;2554
169;1650;4123;3207;2600;2562
170;1673;4150;3258;2618;2592
171;1670;4183;3253;2632;2608
172;1731;4254;3284;2654;2624
173;1719;4244;3302;2671;2639
174;1723;4260;3331;2686;2656
175;1739;4319;3350;2697;2684
176;1729;4345;3378;2726;2688
177;1727;4347;3404;2733;2706
178;1771;4394;3425;2761;2728
179;1794;4438;3446;2776;2736
180;1794;4494;3483;2788;2757
181;1797;4475;3503;2818;2776
182;1810;4517;3497;2829;2798
183;1836;4535;3518;2848;2811
