n;RN;AVL;B-1;B-5;B-10
1;2;3;1;1;1
2;3;6;4;4;4
3;7;14;6;6;6
4;9;21;10;10;10
5;12;27;13;12;12
6;13;33;17;17;17
7;17;42;21;21;21
8;20;51;27;23;23
9;22;54;30;27;27
10;25;60;34;32;32
11;26;65;37;37;36
12;29;76;44;42;42
13;33;82;48;47;46
14;33;86;54;51;52
15;39;98;60;56;55
16;39;103;65;63;60
17;43;114;70;65;64
18;46;118;76;72;70
19;48;124;79;77;74
20;52;138;87;83;79
21;61;148;92;88;86
22;58;147;100;96;94
23;60;158;102;98;99
24;67;168;112;103;100
25;64;173;116;111;110
26;69;180;119;113;116
27;71;191;128;125;121
28;75;199;134;126;125
29;80;209;141;132;131
30;80;222;145;139;136
31;82;228;156;148;144
32;84;231;164;151;149
33;88;240;167;155;153
34;90;248;173;165;161
35;90;264;177;172;166
36;98;265;187;179;171
37;99;277;191;183;175
38;105;292;204;191;183
39;105;292;208;195;192
40;109;302;212;207;202
41;110;313;221;209;207
42;111;316;227;218;217
43;113;332;231;220;219
44;117;338;242;231;229
45;120;348;245;238;233
46;126;362;255;247;241
47;129;374;261;247;249
48;127;372;267;257;253
49;135;385;274;263;263
50;137;394;279;268;262
51;133;399;286;272;273
52;142;414;296;281;276
53;145;418;303;289;283
54;142;431;310;297;294
55;149;448;313;302;297
56;153;452;325;306;305
57;152;455;329;312;313
58;161;472;337;320;320
59;162;480;341;326;320
60;166;495;356;339;334
61;164;501;361;342;340
62;169;503;365;350;348
63;166;512;375;356;355
64;172;530;378;366;358
65;172;541;388;373;372
66;180;551;397;377;372
67;186;559;405;385;380
68;187;565;414;395;392
69;193;579;421;396;400
70;193;582;427;406;398
71;189;596;433;416;412
72;196;604;447;423;423
73;199;617;456;427;429
74;204;633;458;435;431
75;200;640;467;448;440
76;208;647;476;453;456
77;214;648;482;460;457
78;212;663;489;465;468
79;215;674;498;472;468
80;217;681;505;488;478
81;220;692;515;491;487
82;227;707;527;498;492
83;226;713;534;511;502
84;232;726;536;509;506
85;232;736;547;518;518
86;232;740;561;528;531
87;240;759;564;534;533
88;241;758;573;542;543
89;248;775;584;549;544
90;243;787;588;559;559
91;250;797;594;567;559
92;250;807;602;578;568
93;258;813;602;584;575
94;257;825;614;578;580
95;263;837;627;594;596
96;265;847;643;601;596
97;267;858;641;612;609
98;278;862;646;625;608
99;273;875;653;626;617
100;283;893;663;635;634
101;278;892;671;642;632
102;272;915;684;657;644
103;286;919;688;658;650
104;287;927;692;663;653
105;284;934;705;674;664
106;295;956;717;686;682
107;299;960;719;693;687
108;300;971;728;694;685
109;305;987;745;704;699
110;302;986;743;710;698
111;303;990;750;723;717
112;308;1018;764;729;721
113;302;1010;767;734;725
114;312;1030;785;748;738
115;318;1038;788;752;738
116;322;1051;793;756;751
117;327;1069;810;762;758
118;327;1082;810;777;770
119;327;1086;822;782;772
120;330;1099;828;789;782
121;332;1102;835;797;792
122;347;1124;839;805;798
123;343;1132;856;810;799
124;344;1124;855;820;815
125;345;1140;866;830;828
126;350;1158;875;837;830
127;346;1179;889;850;837
128;357;1175;894;849;842
129;357;1192;900;867;854
130;366;1203;907;873;863
131;357;1207;926;878;874
132;370;1226;930;889;880
133;370;1232;930;891;882
134;377;1236;939;902;899
135;367;1255;949;913;903
136;370;1259;961;927;911
137;374;1284;974;930;923
138;390;1293;980;937;931
139;385;1302;986;947;936
140;385;1304;999;954;947
141;389;1322;1003;968;947
142;395;1340;1011;971;968
143;396;1360;1021;981;975
144;396;1343;1032;992;980
145;407;1359;1044;992;982
146;404;1376;1055;1010;1004
147;399;1385;1060;1014;1012
148;412;1395;1073;1026;1013
149;418;1403;1068;1031;1020
150;425;1411;1077;1043;1025
151;428;1436;1098;1049;1035
152;424;1443;1109;1057;1053
153;428;1458;1111;1065;1067
154;432;1463;1109;1081;1063
155;427;1466;1129;1084;1068
156;431;1482;1141;1084;1075
157;437;1503;1152;1106;1085
158;434;1504;1162;1114;1098
159;443;1520;1167;1107;1106
160;439;1521;1183;1132;1123
161;444;1540;1184;1137;1125
162;450;1557;1191;1162;1128
163;444;1563;1214;1150;1143
164;450;1576;1209;1167;1153
165;462;1588;1231;1176;1165
166;470;1585;1236;1186;1171
167;462;1608;1238;1188;1176
168;474;1610;1245;1199;1186
169;473;1626;1251;1201;1187
170;463;1636;1273;1207;1202
171;483;1653;1270;1227;1207
172;471;1666;1280;1235;1208
173;486;1688;1285;1244;1228
174;483;1698;1306;1248;1230
175;489;1696;1309;1263;1241
176;494;1711;1316;1276;1252
177;490;1731;1330;1277;1258
178;491;1720;1330;1287;1273
179;498;1745;1344;1287;1272
180;511;1746;1358;1296;1289
181;505;1754;1357;1327;1291
182;499;1768;1368;1325;1303
183;508;1775;1374;1333;1314
184;514;1790;1388;1343;1315
185;509;1801;1392;1341;1333
186;519;1812;1416;1349;1335
187;519;1829;1417;1350;1340
188;520;1839;1436;1368;1354
189;530;1851;1439;1381;1356
190;518;1861;1449;1398;1371
191;536;1871;1444;1391;1371
192;533;1886;1457;1407;1382
193;543;1905;1471;1415;1390
194;544;1906;1486;1421;1405
