n;RN;AVL;B-1;B-5;B-10
1;1;1;4;4;4
2;3;5;10;10;10
3;8;12;20;17;17
4;12;17;28;25;25
5;18;26;39;34;34
6;25;37;50;42;42
7;28;44;65;52;52
8;39;55;78;63;63
9;45;67;91;74;74
10;52;75;104;85;85
11;55;83;117;97;94
12;71;99;132;109;106
13;77;110;147;121;117
14;78;116;159;132;129
15;88;130;177;146;142
16;102;148;187;156;153
17;98;150;204;168;165
18;110;162;218;180;177
19;114;172;236;198;192
20;124;189;254;213;205
21;138;205;270;224;218
22;139;212;285;238;233
23;152;228;299;250;246
24;158;238;317;263;259
25;163;250;334;276;273
26;177;270;358;292;287
27;194;290;369;303;298
28;195;300;382;320;311
29;202;308;398;329;326
30;210;318;417;348;342
31;222;336;433;358;355
32;235;351;449;374;371
33;231;356;462;383;385
34;251;377;484;401;397
35;251;390;498;412;412
36;271;411;525;432;426
37;286;428;542;445;442
38;287;438;558;457;456
39;286;440;568;471;471
40;295;456;588;485;488
41;309;480;610;497;507
42;322;490;623;514;519
43;327;503;642;528;536
44;337;514;661;545;548
45;358;544;684;560;563
46;348;542;706;573;581
47;376;567;722;586;595
48;377;579;735;595;609
49;375;589;762;613;624
50;384;602;773;634;643
51;404;629;798;644;655
52;416;643;815;660;673
53;416;656;839;679;683
54;432;675;852;690;701
55;450;692;867;710;717
56;442;701;887;721;727
57;463;718;895;735;741
58;484;750;931;753;757
59;471;748;945;767;773
60;485;768;959;785;790
61;506;782;987;797;803
62;515;797;1009;813;818
63;530;821;1017;825;833
64;519;824;1033;840;851
65;542;841;1055;852;864
66;555;869;1081;868;880
67;562;883;1099;881;902
68;574;901;1127;902;913
69;580;914;1130;912;926
70;603;940;1162;935;943
71;600;936;1180;946;960
72;602;947;1194;963;973
73;631;973;1223;979;990
74;624;996;1233;995;1008
75;641;1010;1246;1001;1019
76;647;1020;1278;1026;1040
77;660;1039;1282;1036;1055
78;672;1055;1308;1057;1069
79;679;1062;1333;1070;1082
80;699;1085;1345;1083;1099
81;698;1105;1375;1099;1117
82;720;1133;1382;1115;1137
83;736;1154;1411;1130;1148
84;728;1157;1433;1150;1162
85;744;1175;1446;1158;1183
86;751;1207;1470;1177;1194
87;767;1204;1487;1197;1215
88;783;1237;1523;1213;1230
89;786;1233;1522;1219;1246
90;804;1260;1554;1245;1264
91;805;1272;1566;1251;1275
92;823;1293;1580;1271;1294
93;828;1303;1612;1293;1312
94;832;1330;1619;1310;1326
95;842;1340;1646;1319;1344
96;864;1358;1684;1348;1356
97;875;1379;1690;1359;1378
98;883;1394;1712;1377;1393
99;891;1409;1727;1400;1405
100;895;1428;1746;1404;1423
101;918;1447;1771;1428;1440
102;922;1450;1780;1433;1453
103;936;1487;1814;1457;1474
104;950;1510;1837;1474;1484
105;957;1533;1860;1502;1503
106;982;1544;1878;1510;1519
107;976;1540;1912;1521;1539
108;987;1556;1916;1546;1553
109;1020;1606;1946;1566;1574
110;1003;1599;1959;1577;1580
111;1019;1617;1995;1594;1598
112;1033;1625;2003;1610;1619
113;1030;1658;2021;1626;1637
114;1052;1657;2048;1647;1651
115;1071;1692;2073;1661;1662
116;1076;1713;2085;1677;1681
117;1078;1718;2096;1691;1700
118;1103;1759;2129;1714;1718
119;1106;1731;2145;1733;1742
120;1133;1783;2176;1748;1754
