n;RN;AVL;B-1;B-5;B-10
1;0;0;2;2;2
2;0;0;4;4;4
3;0;0;8;7;7
4;0;0;12;10;10
5;0;0;16;13;13
6;0;0;20;16;16
7;0;0;25;20;20
8;0;0;29;24;24
9;0;0;36;28;28
10;0;0;42;32;32
11;0;0;48;37;36
12;0;0;54;42;40
13;0;0;61;47;44
14;0;0;67;52;48
15;0;0;72;58;53
16;0;0;80;65;58
17;0;0;86;69;63
18;0;0;94;76;68
19;0;0;99;80;73
20;0;0;107;86;78
21;0;0;114;93;84
22;0;0;124;99;90
23;0;0;130;104;96
24;0;0;140;110;103
25;0;0;148;115;108
26;0;0;154;121;114
27;0;0;162;127;120
28;0;0;169;134;127
29;0;0;180;139;132
30;0;0;187;148;138
31;0;0;194;155;147
32;0;0;201;161;154
33;0;0;213;168;161
34;0;0;218;174;166
35;0;0;227;180;175
36;0;0;237;189;180
37;0;0;243;193;187
38;0;0;257;200;194
39;0;0;256;205;200
40;0;0;272;217;209
41;0;0;277;223;213
42;0;0;285;228;219
43;0;0;293;237;227
44;0;0;303;239;234
45;0;0;316;248;242
46;0;0;324;251;247
47;0;0;328;259;254
48;0;0;341;271;263
49;0;0;353;273;267
50;0;0;359;277;277
51;0;0;367;283;281
52;0;0;380;296;289
53;0;0;390;304;300
54;0;0;400;307;303
55;0;0;413;315;309
56;0;0;418;319;318
57;0;0;435;325;325
58;0;0;442;334;336
59;0;0;450;344;343
60;0;0;464;357;356
61;0;0;467;355;357
62;0;0;484;364;360
63;0;0;509;381;381
64;0;0;497;384;381
65;0;0;509;383;384
66;0;0;530;403;401
67;0;0;531;411;403
68;0;0;543;411;412
69;0;0;559;413;416
70;0;0;563;426;420
71;0;0;567;434;433
72;0;0;585;444;442
73;0;0;591;452;451
74;0;0;604;469;462
75;0;0;618;469;465
76;0;0;630;478;472
77;0;0;632;480;480
78;0;0;652;492;492
79;0;0;661;502;498
80;0;0;669;507;509
81;0;0;676;508;512
82;0;0;696;522;525
83;0;0;698;530;530
84;0;0;717;548;536
85;0;0;727;546;543
86;0;0;736;552;552
87;0;0;739;569;563
88;0;0;758;574;572
89;0;0;781;585;580
90;0;0;772;586;587
91;0;0;787;595;599
92;0;0;794;607;597
93;0;0;818;615;602
94;0;0;825;630;616
95;0;0;838;633;619
96;0;0;843;632;629
97;0;0;852;651;634
98;0;0;854;660;642
99;0;0;866;666;651
100;0;0;886;692;665
101;0;0;889;687;664
102;0;0;905;696;679
103;0;0;904;688;671
104;0;0;925;725;704
105;0;0;934;727;710
106;0;0;938;717;698
107;0;0;957;722;706
108;0;0;997;760;733
109;0;0;997;768;739
110;0;0;991;774;748
111;0;0;1010;787;756
112;0;0;1036;789;764
113;0;0;1023;804;773
114;0;0;1051;798;772
115;0;0;1074;812;787
116;0;0;1063;828;781
117;0;0;1102;840;806
118;0;0;1098;829;807
119;0;0;1091;854;820
120;0;0;1129;864;825
121;0;0;1137;866;826
122;0;0;1139;873;838
123;0;0;1128;897;855
124;0;0;1168;906;862
125;0;0;1187;913;880
126;0;0;1208;919;876
127;0;0;1202;926;886
128;0;0;1236;951;909
129;0;0;1240;954;902
130;0;0;1253;969;914
131;0;0;1258;985;933
132;0;0;1282;981;936
133;0;0;1275;976;938
134;0;0;1298;1003;949
135;0;0;1310;1013;967
136;0;0;1327;1011;960
137;0;0;1320;1040;984
138;0;0;1339;1031;993
139;0;0;1324;1026;976
140;0;0;1366;1049;1009
141;0;0;1401;1082;1013
142;0;0;1392;1075;1019
143;0;0;1448;1101;1036
144;0;0;1409;1115;1047
145;0;0;1450;1118;1059
146;0;0;1425;1108;1053
147;0;0;1445;1144;1069
148;0;0;1484;1130;1075
149;0;0;1492;1155;1081
150;0;0;1497;1159;1094
151;0;0;1505;1166;1094
152;0;0;1500;1182;1107
153;0;0;1526;1174;1112
154;0;0;1531;1198;1139
155;0;0;1580;1224;1158
156;0;0;1582;1213;1141
157;0;0;1607;1228;1180
158;0;0;1629;1256;1176
159;0;0;1590;1233;1152
160;0;0;1604;1236;1178
161;0;0;1619;1268;1179
162;0;0;1658;1261;1192
163;0;0;1635;1289;1217
164;0;0;1693;1290;1224
165;0;0;1697;1310;1239
166;0;0;1702;1320;1235
167;0;0;1705;1327;1232
168;0;0;1713;1359;1268
169;0;0;1722;1332;1255
170;0;0;1744;1340;1277
171;0;0;1775;1386;1296
172;0;0;1752;1364;1275
173;0;0;1784;1391;1308
174;0;0;1816;1400;1316
175;0;0;1857;1424;1336
176;0;0;1854;1420;1335
177;0;0;1824;1409;1339
178;0;0;1857;1420;1344
179;0;0;1892;1438;1352
180;0;0;1905;1467;1370
181;0;0;1914;1476;1388
182;0;0;1890;1455;1357
183;0;0;1930;1510;1400
184;0;0;1946;1506;1422
185;0;0;1933;1512;1416
186;0;0;1944;1513;1400
187;0;0;1973;1521;1422
188;0;0;1988;1518;1445
189;0;0;2009;1557;1464
190;0;0;1992;1524;1437
191;0;0;2004;1571;1459
192;0;0;2045;1588;1483
193;0;0;2024;1560;1464
194;0;0;2042;1584;1477
195;0;0;2047;1569;1478
196;0;0;2064;1604;1482
197;0;0;2113;1634;1525
198;0;0;2127;1635;1521
199;0;0;2116;1630;1532
200;0;0;2161;1645;1561
201;0;0;2139;1661;1538
202;0;0;2204;1691;1576
203;0;0;2171;1697;1563
204;0;0;2164;1701;1585
205;0;0;2219;1700;1595
206;0;0;2205;1701;1600
207;0;0;2238;1731;1616
208;0;0;2287;1769;1644
209;0;0;2261;1731;1620
210;0;0;2248;1746;1620
211;0;0;2270;1755;1623
212;0;0;2343;1788;1669
213;0;0;2327;1785;1672
214;0;0;2317;1797;1669
215;0;0;2325;1797;1676
216;0;0;2363;1814;1696
217;0;0;2355;1841;1687
218;0;0;2367;1840;1716
219;0;0;2399;1862;1731
220;0;0;2367;1876;1726
221;0;0;2408;1882;1734
222;0;0;2419;1913;1758
223;0;0;2453;1922;1763
224;0;0;2469;1869;1757
225;0;0;2478;1882;1776
226;0;0;2518;1939;1799
227;0;0;2476;1921;1813
228;0;0;2564;1954;1830
229;0;0;2518;1952;1810
230;0;0;2576;2010;1835
231;0;0;2545;1978;1836
232;0;0;2557;1988;1834
233;0;0;2560;2001;1857
234;0;0;2620;2025;1882
235;0;0;2568;1979;1855
