n;RN;AVL;B-1;B-5;B-10
1;1;1;0;0;0
2;3;5;0;0;0
3;9;14;0;0;0
4;14;20;0;0;0
5;21;31;0;0;0
6;27;42;0;0;0
7;35;53;0;0;0
8;45;61;0;0;0
9;53;74;0;0;0
10;62;87;0;0;0
11;71;100;0;0;0
12;82;113;0;0;0
13;91;126;0;0;0
14;101;139;0;0;0
15;111;152;0;0;0
16;123;162;0;0;0
17;133;177;0;0;0
18;147;192;0;0;0
19;157;207;0;0;0
20;169;222;0;0;0
21;179;237;0;0;0
22;192;252;0;0;0
23;203;267;0;0;0
24;216;282;0;0;0
25;227;297;0;0;0
26;242;312;0;0;0
27;253;327;0;0;0
28;266;342;0;0;0
29;277;357;0;0;0
30;291;372;0;0;0
31;303;387;0;0;0
32;317;399;0;0;0
33;329;416;0;0;0
34;345;433;0;0;0
35;357;450;0;0;0
36;371;467;0;0;0
37;383;484;0;0;0
38;401;501;0;0;0
39;413;518;0;0;0
40;427;535;0;0;0
41;439;552;0;0;0
42;455;569;0;0;0
43;467;586;0;0;0
44;481;603;0;0;0
45;493;620;0;0;0
46;510;637;0;0;0
47;523;654;0;0;0
48;538;671;0;0;0
49;551;688;0;0;0
50;568;705;0;0;0
51;581;722;0;0;0
52;596;739;0;0;0
53;609;756;0;0;0
54;628;773;0;0;0
55;641;790;0;0;0
56;656;807;0;0;0
57;669;824;0;0;0
58;686;841;0;0;0
59;699;858;0;0;0
60;714;875;0;0;0
61;727;892;0;0;0
62;745;909;0;0;0
63;759;926;0;0;0
64;775;940;0;0;0
65;789;959;0;0;0
66;807;978;0;0;0
67;821;997;0;0;0
68;837;1016;0;0;0
69;851;1035;0;0;0
70;871;1054;0;0;0
71;885;1073;0;0;0
72;901;1092;0;0;0
73;915;1111;0;0;0
74;933;1130;0;0;0
75;947;1149;0;0;0
76;963;1168;0;0;0
77;977;1187;0;0;0
78;999;1206;0;0;0
79;1013;1225;0;0;0
80;1029;1244;0;0;0
81;1043;1263;0;0;0
82;1061;1282;0;0;0
83;1075;1301;0;0;0
84;1091;1320;0;0;0
85;1105;1339;0;0;0
86;1125;1358;0;0;0
87;1139;1377;0;0;0
88;1155;1396;0;0;0
89;1169;1415;0;0;0
90;1187;1434;0;0;0
91;1201;1453;0;0;0
92;1217;1472;0;0;0
93;1231;1491;0;0;0
94;1252;1510;0;0;0
95;1267;1529;0;0;0
96;1284;1548;0;0;0
97;1299;1567;0;0;0
98;1318;1586;0;0;0
99;1333;1605;0;0;0
100;1350;1624;0;0;0
