n;RN;AVL;B-1;B-5;B-10
1;1;1;0;0;0
2;3;5;0;0;0
3;9;13;0;0;0
4;13;18;0;0;0
5;16;24;0;0;0
6;21;33;0;0;0
7;31;45;0;0;0
8;37;53;0;0;0
9;41;60;0;0;0
10;53;77;0;0;0
11;56;84;0;0;0
12;66;97;0;0;0
13;73;108;0;0;0
14;77;117;0;0;0
15;90;131;0;0;0
16;93;140;0;0;0
17;104;153;0;0;0
18;109;167;0;0;0
19;121;178;0;0;0
20;126;188;0;0;0
21;130;198;0;0;0
22;145;219;0;0;0
23;157;236;0;0;0
24;161;246;0;0;0
25;170;252;0;0;0
26;176;268;0;0;0
27;181;278;0;0;0
28;190;298;0;0;0
29;207;307;0;0;0
30;218;329;0;0;0
31;218;339;0;0;0
32;225;347;0;0;0
33;224;363;0;0;0
34;247;379;0;0;0
35;263;397;0;0;0
36;263;402;0;0;0
37;270;418;0;0;0
38;281;430;0;0;0
39;296;452;0;0;0
40;302;467;0;0;0
41;303;471;0;0;0
42;319;485;0;0;0
43;336;513;0;0;0
44;348;530;0;0;0
45;349;544;0;0;0
46;364;559;0;0;0
47;366;565;0;0;0
48;376;587;0;0;0
49;384;606;0;0;0
50;397;620;0;0;0
51;401;632;0;0;0
52;424;644;0;0;0
53;429;660;0;0;0
54;442;677;0;0;0
55;451;697;0;0;0
56;462;708;0;0;0
57;460;714;0;0;0
58;485;740;0;0;0
59;479;749;0;0;0
60;498;766;0;0;0
61;508;787;0;0;0
62;528;811;0;0;0
63;528;816;0;0;0
64;531;825;0;0;0
65;525;824;0;0;0
66;551;859;0;0;0
67;557;881;0;0;0
68;580;898;0;0;0
69;571;907;0;0;0
70;581;919;0;0;0
71;604;936;0;0;0
72;607;952;0;0;0
73;623;976;0;0;0
74;628;994;0;0;0
75;641;1002;0;0;0
76;648;1009;0;0;0
77;660;1039;0;0;0
78;683;1064;0;0;0
79;683;1072;0;0;0
80;696;1105;0;0;0
81;707;1107;0;0;0
82;719;1124;0;0;0
83;725;1140;0;0;0
84;736;1166;0;0;0
85;748;1176;0;0;0
86;759;1196;0;0;0
87;776;1208;0;0;0
88;786;1232;0;0;0
89;795;1263;0;0;0
90;791;1252;0;0;0
91;808;1282;0;0;0
92;818;1278;0;0;0
93;833;1314;0;0;0
94;846;1341;0;0;0
95;849;1349;0;0;0
96;869;1367;0;0;0
97;867;1379;0;0;0
98;878;1391;0;0;0
99;894;1414;0;0;0
100;906;1438;0;0;0
101;914;1440;0;0;0
102;919;1458;0;0;0
