n;RN;AVL;B-1;B-5;B-10
1;0;1;0;0;0
2;0;5;0;0;0
3;0;12;0;0;0
4;0;18;0;0;0
5;0;25;0;0;0
6;0;35;0;0;0
7;0;43;0;0;0
8;0;54;0;0;0
9;0;64;0;0;0
10;0;76;0;0;0
11;0;87;0;0;0
12;0;94;0;0;0
13;0;109;0;0;0
14;0;119;0;0;0
15;0;128;0;0;0
16;0;142;0;0;0
17;0;156;0;0;0
18;0;165;0;0;0
19;0;178;0;0;0
20;0;192;0;0;0
21;0;206;0;0;0
22;0;213;0;0;0
23;0;230;0;0;0
24;0;236;0;0;0
25;0;247;0;0;0
26;0;278;0;0;0
27;0;277;0;0;0
28;0;299;0;0;0
29;0;305;0;0;0
30;0;313;0;0;0
31;0;333;0;0;0
32;0;354;0;0;0
33;0;361;0;0;0
34;0;368;0;0;0
35;0;388;0;0;0
36;0;408;0;0;0
37;0;427;0;0;0
38;0;430;0;0;0
39;0;458;0;0;0
40;0;462;0;0;0
41;0;475;0;0;0
42;0;495;0;0;0
43;0;509;0;0;0
44;0;536;0;0;0
45;0;533;0;0;0
46;0;548;0;0;0
47;0;558;0;0;0
48;0;582;0;0;0
49;0;595;0;0;0
50;0;608;0;0;0
51;0;625;0;0;0
52;0;635;0;0;0
53;0;655;0;0;0
54;0;676;0;0;0
55;0;685;0;0;0
56;0;700;0;0;0
57;0;735;0;0;0
58;0;731;0;0;0
59;0;750;0;0;0
60;0;760;0;0;0
61;0;788;0;0;0
62;0;801;0;0;0
63;0;814;0;0;0
64;0;837;0;0;0
65;0;839;0;0;0
66;0;876;0;0;0
67;0;892;0;0;0
68;0;884;0;0;0
69;0;908;0;0;0
70;0;927;0;0;0
71;0;957;0;0;0
72;0;971;0;0;0
73;0;978;0;0;0
74;0;983;0;0;0
75;0;1001;0;0;0
76;0;1041;0;0;0
77;0;1053;0;0;0
78;0;1053;0;0;0
79;0;1075;0;0;0
80;0;1095;0;0;0
81;0;1114;0;0;0
82;0;1117;0;0;0
83;0;1147;0;0;0
84;0;1138;0;0;0
85;0;1183;0;0;0
86;0;1193;0;0;0
87;0;1205;0;0;0
88;0;1216;0;0;0
89;0;1239;0;0;0
90;0;1257;0;0;0
91;0;1278;0;0;0
92;0;1294;0;0;0
93;0;1297;0;0;0
94;0;1317;0;0;0
95;0;1334;0;0;0
96;0;1341;0;0;0
97;0;1388;0;0;0
98;0;1403;0;0;0
99;0;1421;0;0;0
100;0;1415;0;0;0
101;0;1447;0;0;0
102;0;1461;0;0;0
103;0;1481;0;0;0
104;0;1495;0;0;0
105;0;1513;0;0;0
106;0;1528;0;0;0
107;0;1564;0;0;0
108;0;1558;0;0;0
109;0;1588;0;0;0
110;0;1611;0;0;0
111;0;1631;0;0;0
112;0;1636;0;0;0
113;0;1649;0;0;0
114;0;1694;0;0;0
115;0;1692;0;0;0
116;0;1712;0;0;0
117;0;1729;0;0;0
118;0;1743;0;0;0
119;0;1748;0;0;0
120;0;1782;0;0;0
121;0;1800;0;0;0
122;0;1802;0;0;0
123;0;1825;0;0;0
124;0;1843;0;0;0
125;0;1870;0;0;0
126;0;1899;0;0;0
127;0;1917;0;0;0
128;0;1935;0;0;0
129;0;1939;0;0;0
130;0;1980;0;0;0
131;0;1978;0;0;0
132;0;2001;0;0;0
133;0;2014;0;0;0
134;0;2030;0;0;0
135;0;2053;0;0;0
136;0;2075;0;0;0
137;0;2071;0;0;0
138;0;2103;0;0;0
139;0;2132;0;0;0
140;0;2160;0;0;0
141;0;2169;0;0;0
142;0;2176;0;0;0
143;0;2213;0;0;0
144;0;2210;0;0;0
145;0;2212;0;0;0
146;0;2255;0;0;0
147;0;2269;0;0;0
148;0;2265;0;0;0
149;0;2291;0;0;0
150;0;2328;0;0;0
151;0;2333;0;0;0
152;0;2370;0;0;0
153;0;2383;0;0;0
154;0;2403;0;0;0
155;0;2418;0;0;0
156;0;2439;0;0;0
157;0;2462;0;0;0
158;0;2481;0;0;0
159;0;2504;0;0;0
160;0;2487;0;0;0
161;0;2513;0;0;0
162;0;2568;0;0;0
163;0;2546;0;0;0
164;0;2580;0;0;0
165;0;2611;0;0;0
166;0;2613;0;0;0
167;0;2648;0;0;0
168;0;2671;0;0;0
169;0;2663;0;0;0
170;0;2704;0;0;0
171;0;2717;0;0;0
172;0;2738;0;0;0
173;0;2753;0;0;0
174;0;2779;0;0;0
175;0;2810;0;0;0
176;0;2800;0;0;0
177;0;2823;0;0;0
178;0;2866;0;0;0
179;0;2874;0;0;0
180;0;2863;0;0;0
181;0;2890;0;0;0
182;0;2942;0;0;0
183;0;2945;0;0;0
184;0;2982;0;0;0
185;0;2991;0;0;0
186;0;2975;0;0;0
187;0;3023;0;0;0
188;0;3045;0;0;0
189;0;3067;0;0;0
190;0;3070;0;0;0
191;0;3079;0;0;0
192;0;3123;0;0;0
193;0;3109;0;0;0
194;0;3156;0;0;0
195;0;3173;0;0;0
196;0;3198;0;0;0
197;0;3214;0;0;0
198;0;3233;0;0;0
199;0;3241;0;0;0
200;0;3275;0;0;0
201;0;3315;0;0;0
202;0;3310;0;0;0
203;0;3321;0;0;0
204;0;3341;0;0;0
205;0;3329;0;0;0
206;0;3401;0;0;0
207;0;3414;0;0;0
208;0;3408;0;0;0
209;0;3463;0;0;0
210;0;3460;0;0;0
211;0;3496;0;0;0
212;0;3470;0;0;0
213;0;3529;0;0;0
214;0;3534;0;0;0
215;0;3569;0;0;0
216;0;3583;0;0;0
217;0;3591;0;0;0
218;0;3619;0;0;0
219;0;3650;0;0;0
220;0;3641;0;0;0
221;0;3682;0;0;0
222;0;3716;0;0;0
223;0;3705;0;0;0
224;0;3746;0;0;0
225;0;3772;0;0;0
226;0;3790;0;0;0
227;0;3788;0;0;0
228;0;3811;0;0;0
229;0;3825;0;0;0
230;0;3846;0;0;0
231;0;3860;0;0;0
232;0;3897;0;0;0
233;0;3906;0;0;0
234;0;3948;0;0;0
235;0;3936;0;0;0
236;0;3960;0;0;0
237;0;3984;0;0;0
238;0;4004;0;0;0
239;0;4027;0;0;0
240;0;4075;0;0;0
241;0;4057;0;0;0
242;0;4057;0;0;0
243;0;4112;0;0;0
244;0;4137;0;0;0
245;0;4138;0;0;0
246;0;4172;0;0;0
247;0;4182;0;0;0
248;0;4211;0;0;0
249;0;4233;0;0;0
250;0;4236;0;0;0
251;0;4259;0;0;0
252;0;4291;0;0;0
253;0;4339;0;0;0
254;0;4337;0;0;0
255;0;4348;0;0;0
256;0;4343;0;0;0
257;0;4397;0;0;0
258;0;4424;0;0;0
259;0;4424;0;0;0
260;0;4448;0;0;0
261;0;4450;0;0;0
262;0;4505;0;0;0
263;0;4514;0;0;0
264;0;4525;0;0;0
265;0;4572;0;0;0
266;0;4594;0;0;0
267;0;4598;0;0;0
268;0;4620;0;0;0
269;0;4627;0;0;0
270;0;4653;0;0;0
271;0;4682;0;0;0
272;0;4701;0;0;0
273;0;4714;0;0;0
274;0;4703;0;0;0
275;0;4761;0;0;0
276;0;4762;0;0;0
277;0;4776;0;0;0
278;0;4830;0;0;0
279;0;4807;0;0;0
280;0;4852;0;0;0
281;0;4870;0;0;0
282;0;4901;0;0;0
283;0;4910;0;0;0
284;0;4929;0;0;0
285;0;4961;0;0;0
286;0;4973;0;0;0
287;0;4968;0;0;0
288;0;5030;0;0;0
289;0;5057;0;0;0
290;0;5017;0;0;0
291;0;5085;0;0;0
292;0;5098;0;0;0
293;0;5116;0;0;0
294;0;5120;0;0;0
295;0;5131;0;0;0
296;0;5194;0;0;0
297;0;5188;0;0;0
298;0;5249;0;0;0
299;0;5227;0;0;0
300;0;5269;0;0;0
301;0;5296;0;0;0
302;0;5311;0;0;0
303;0;5305;0;0;0
304;0;5355;0;0;0
305;0;5396;0;0;0
306;0;5397;0;0;0
307;0;5404;0;0;0
308;0;5396;0;0;0
309;0;5431;0;0;0
310;0;5463;0;0;0
311;0;5499;0;0;0
312;0;5501;0;0;0
313;0;5507;0;0;0
314;0;5516;0;0;0
315;0;5579;0;0;0
316;0;5577;0;0;0
317;0;5604;0;0;0
318;0;5607;0;0;0
319;0;5635;0;0;0
320;0;5686;0;0;0
321;0;5698;0;0;0
322;0;5702;0;0;0
323;0;5746;0;0;0
324;0;5786;0;0;0
325;0;5785;0;0;0
326;0;5795;0;0;0
327;0;5848;0;0;0
328;0;5823;0;0;0
329;0;5873;0;0;0
330;0;5894;0;0;0
331;0;5869;0;0;0
332;0;5923;0;0;0
333;0;5950;0;0;0
334;0;5961;0;0;0
335;0;5973;0;0;0
336;0;5999;0;0;0
337;0;6033;0;0;0
338;0;6056;0;0;0
339;0;6065;0;0;0
340;0;6096;0;0;0
341;0;6112;0;0;0
342;0;6117;0;0;0
343;0;6114;0;0;0
344;0;6162;0;0;0
345;0;6205;0;0;0
346;0;6240;0;0;0
347;0;6228;0;0;0
348;0;6243;0;0;0
349;0;6234;0;0;0
350;0;6300;0;0;0
351;0;6347;0;0;0
352;0;6319;0;0;0
353;0;6367;0;0;0
354;0;6356;0;0;0
355;0;6409;0;0;0
356;0;6427;0;0;0
357;0;6446;0;0;0
358;0;6447;0;0;0
359;0;6485;0;0;0
360;0;6527;0;0;0
361;0;6521;0;0;0
362;0;6564;0;0;0
363;0;6556;0;0;0
364;0;6585;0;0;0
365;0;6594;0;0;0
366;0;6623;0;0;0
367;0;6621;0;0;0
368;0;6682;0;0;0
369;0;6676;0;0;0
370;0;6698;0;0;0
371;0;6707;0;0;0
372;0;6733;0;0;0
373;0;6775;0;0;0
374;0;6763;0;0;0
375;0;6836;0;0;0
376;0;6863;0;0;0
377;0;6856;0;0;0
378;0;6874;0;0;0
379;0;6926;0;0;0
380;0;6925;0;0;0
381;0;6947;0;0;0
382;0;6999;0;0;0
383;0;6979;0;0;0
384;0;6987;0;0;0
385;0;7028;0;0;0
386;0;7047;0;0;0
387;0;7062;0;0;0
388;0;7114;0;0;0
389;0;7086;0;0;0
390;0;7108;0;0;0
391;0;7165;0;0;0
392;0;7170;0;0;0
393;0;7191;0;0;0
394;0;7224;0;0;0
395;0;7274;0;0;0
396;0;7267;0;0;0
397;0;7303;0;0;0
398;0;7303;0;0;0
399;0;7325;0;0;0
400;0;7371;0;0;0
401;0;7358;0;0;0
402;0;7402;0;0;0
403;0;7415;0;0;0
404;0;7430;0;0;0
405;0;7480;0;0;0
406;0;7458;0;0;0
407;0;7511;0;0;0
408;0;7513;0;0;0
409;0;7560;0;0;0
410;0;7568;0;0;0
411;0;7571;0;0;0
412;0;7620;0;0;0
413;0;7655;0;0;0
414;0;7648;0;0;0
415;0;7715;0;0;0
416;0;7683;0;0;0
417;0;7710;0;0;0
418;0;7767;0;0;0
419;0;7814;0;0;0
420;0;7776;0;0;0
421;0;7802;0;0;0
422;0;7805;0;0;0
423;0;7830;0;0;0
424;0;7884;0;0;0
425;0;7852;0;0;0
426;0;7899;0;0;0
427;0;7935;0;0;0
428;0;7964;0;0;0
429;0;7946;0;0;0
430;0;8033;0;0;0
431;0;7983;0;0;0
432;0;8052;0;0;0
433;0;8037;0;0;0
434;0;8043;0;0;0
435;0;8107;0;0;0
436;0;8119;0;0;0
437;0;8157;0;0;0
438;0;8178;0;0;0
